100720,31,ПБК Крым (Krym),pbk-krym-krym,/pbkkrym,Симферополь,44.9381,34.056
102248,9,Kors (Корс),kors-kors,/w/kors-kors/102248,Выборг,60.6614,28.8761
102360,6,Boston Seafood & Bar,boston-seafood-and-bar,/w/boston-seafood-bar/102360,Москва,55.7796,37.5903
103732,2,Эль+,el,/w/el/103732,Дубна,56.7537,37.2052
104878,187,Plan B Brewery,plan-b-brewery,/Plan_B_Brewery,Yaroslavl,57.6319,39.8695
105564,23,Таганский Пивоваренный Завод,taganskij-pivovarennyj-zavod,/w/taganskij-pivovarennyj-zavod/105564,Moscow,55.7293,37.7062
106258,32,Lobanov Brewery 1964 (Пивоварня Лобанова 1964),lobanov-brewery-1964-pivovarnya-lobanova-1964,/w/lobanov-brewery-1964-pivovarnya-lobanova-1964/106258,Kemerovo,55.345,86.0623
106631,18,Пивовар Рогозец (Pivovar Rohozec),pivovar-rogozec-pivovar-rohozec,/w/pivovar-rogozec-pivovar-rohozec/106631,Krasnoyarsk,56.0738,92.9476
107700,7,Emmer (Эммер),emmer-emmer,/w/emmer-emmer/107700,Krasnoyarsk,56.0056,93.0132
108032,4,Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),glazovskiy-pivovarennyi-zavod-glazovskij-pivovarennyj-zavod,/w/glazovskiy-pivovarennyi-zavod-glazovskij-pivovarennyj-zavod/108032,Glazov,58.1505,52.6653
108193,3,Kolbasoff (Колбасофф),kolbasoff-kolbasoff,/w/kolbasoff-kolbasoff/108193,Москва,55.7558,37.6173
108199,4,Пивоварня На Николиной Горе,pivovarnya-na-nikolinoj-gore,/w/pivovarnya-na-nikolinoj-gore/108199,Николина Гора,55.7132,37.0774
109110,59,Varnitsa (Варница),varnitsa-varnica,/w/varnitsa-varnica/109110,Kardymovo,54.8851,32.4206
109634,14,Северное Пиво,severnoe-pivo,/w/severnoe-pivo/109634,Kondopoga,62.2038,34.2544
110785,19,Барк,bark,/w/bark/110785,Vladivostok,43.2828,132.06
111407,13,Grad Petrov (Градъ Петровъ),grad-petrov-grad-petrov,/w/grad-petrov-grad-petrov/111407,Санкт-Петербург,59.9408,30.3029
